ICD9Code	ICD9Description	AlcoholAbuse	Anemia	Anxiety	Bipolar	CAD	CardiacArrhythmias	Cerebrovascular	CHF	ChronicLiverDisease	ChronicRenalFailure	CPD	Depression	Diabetes	DrugAbuse	HTN	MalignantTumor	NicotineAbuse	PainArthritis	Psychosis	PTSD	PVD
303.01	ACUTE ALCOHOLIC INTOXICATION IN ALCOHOLISM, CONTINUOUS DRINKING BEHAVIOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303.90	OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, UNSPECIFIED DRINKING BEHAVIOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303.91	OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, CONTINUOUS DRINKING BEHAVIOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303.92	OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, EPISODIC DRINKING BEHAVIOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305.00	ALCOHOL ABUSE, UNSPECIFIED DRINKING BEHAVIOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305.01	ALCOHOL ABUSE, CONTINUOUS DRINKING BEHAVIOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305.02	ALCOHOL ABUSE, EPISODIC DRINKING BEHAVIOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280.0	IRON DEFICIENCY ANEMIA SECONDARY TO BLOOD LOSS (CHRONIC)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280.1	IRON DEFICIENCY ANEMIA SECONDARY TO INADEQUATE DIETARY IRON INTAKE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280.8	OTHER SPECIFIED IRON DEFICIENCY ANEMIAS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280.9	IRON DEFICIENCY ANEMIA, UNSPECIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.0	PERNICIOUS ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.00	ADDISON'S (PERNICIOUS) ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.01	CONGENITAL PERNICIOUS ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.02	CONGENITAL INTRINSIC ANEMIA (FACTOR [CASTLE'S]) (DEFICIENCY)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.03	PERNICIOUS ANEMIA WITH SUBACUTE COMBINED DEGENERATION OF THE SPINAL CORD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.09	PERNICIOUS ANEMIA, OTHER AND UNSPECIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.1	OTHER VITAMIN B12 DEFICIENCY ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.10	VEGAN'S ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.11	VITAMIN B12 DEFICIENCY (DIETARY) ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.12	ANEMIA DUE TO SELECTIVE VITAMIN B MALABSORPTION WITH PROTEINURIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.13	IMERSLUND'S (IMERSLUND-GRASBECK) SYNDROME	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.19	VITAMIN B12 DEFICIENCLY ANEMIA, OTHER AND UNSPECIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.2	FOLATE-DEFICIENCY ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.20	CONGENITAL FOLATE MALABSORPTION	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.21	FOLATE OR FOLIC ACID DEFICIENCY ANEMIA: DIETARY OR DRUG-INDUCED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.22	GOAT'S MILK ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.23	NUTRITIONAL MEGALOBLAST ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.29	FOLATE-DEFICIENCY ANEMIA, OTHER AND UNSPECIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.3	OTHER SPECIFIED MEGALOBLASTIC ANEMIAS NOT ELSEWHERE CLASSIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.30	COMBINED B12 AND FOLATE-DEFICIENCY ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.31	REFRACTORY MEGALOBLAST ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.39	OTHER SPECIFIED MEGALOBLASTIC ANEMIA, NOT ELSEWHERE CLASSIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.4	PROTEIN-DEFICIENCY ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.8	ANEMIA ASSOCIATED WITH OTHER SPECIFIED NUTRITIONAL DEFICIENCY	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.9	UNSPECIFIED DEFICIENCY ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.90	DIMORPHIC ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.91	MACROCYTIC ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.92	MEGALOBLASTIC ANEMIA, NOS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.93	NUTRITIONAL ANEMIA, NOS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.94	SIMPLE CHRONIC ANEMIA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281.99	DEFICIENCY ANEMIAS, OTHER AND UNSPECIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.0	HEREDITARY SPHEROCYTOSIS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.00	ACHOLURIC (FAMILIAL) JAUNDICE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.01	CONGENITAL HEMOLYTIC ANEMIA (SPHEROCYTIC)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.02	CONGENITAL SPHEROCYTOSIS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.03	MINKOWSKI-CHAUFFARD SYNDROME	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.04	SPHEROCYTOSIS (FAMILIAL)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.09	HEREDITARY SPHEROCYTOSIS, OTHER AND UNSPECIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.1	HEREDITARY ELLIPTOCYTOSIS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.10	ELLIPTOCYTOSIS(CONGENITAL)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.11	OVALOCYTOSIS (CONGENITAL) (HEREDITARY)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.19	HEREDITARY ELLIPTOCYTOSIS, OTHER AND UNSPECIFIED	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282.2	ANEMIAS DUE TO DISORDERS OF GLUTATHIONE METABOLISM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
